Entity,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
Western Europe,1990,15.80379809
Western Europe,1991,15.77437024
Western Europe,1992,15.74784679
Western Europe,1993,15.72510465
Western Europe,1994,15.70531236
Western Europe,1995,15.68807348
Western Europe,1996,15.6788658
Western Europe,1997,15.67982676
Western Europe,1998,15.68388596
Western Europe,1999,15.68895242
Western Europe,2000,15.68990786
Western Europe,2001,15.68973442
Western Europe,2002,15.69101982
Western Europe,2003,15.6940031
Western Europe,2004,15.6999088
Western Europe,2005,15.70620475
Western Europe,2006,15.73576063
Western Europe,2007,15.79671732
Western Europe,2008,15.87030236
Western Europe,2009,15.93462161
Western Europe,2010,15.97222131
Western Europe,2011,15.99113163
Western Europe,2012,16.01223018
Western Europe,2013,16.02937334
Western Europe,2014,16.04247846
Western Europe,2015,16.04803359
Western Europe,2016,16.02464824
Western Europe,2017,15.99739179
Western Europe,2018,15.96696091
Western Europe,2019,15.91311566
Western Pacific Region,1990,11.53311909
Western Pacific Region,1991,11.62143402
Western Pacific Region,1992,11.69538838
Western Pacific Region,1993,11.75276738
Western Pacific Region,1994,11.78871827
Western Pacific Region,1995,11.80026453
Western Pacific Region,1996,11.79434635
Western Pacific Region,1997,11.78190701
Western Pacific Region,1998,11.76280089
Western Pacific Region,1999,11.73835085
Western Pacific Region,2000,11.70757758
Western Pacific Region,2001,11.66492435
Western Pacific Region,2002,11.60688067
Western Pacific Region,2003,11.54496429
Western Pacific Region,2004,11.48887416
Western Pacific Region,2005,11.44979504
Western Pacific Region,2006,11.42207829
Western Pacific Region,2007,11.39254346
Western Pacific Region,2008,11.36383206
Western Pacific Region,2009,11.33800868
Western Pacific Region,2010,11.31642512
Western Pacific Region,2011,11.29110618
Western Pacific Region,2012,11.25810478
Western Pacific Region,2013,11.22569668
Western Pacific Region,2014,11.20196866
Western Pacific Region,2015,11.19575053
Western Pacific Region,2016,11.23081087
Western Pacific Region,2017,11.26891947
Western Pacific Region,2018,11.26197859
Western Pacific Region,2019,11.22492983
Western sub-Saharan Africa,1990,11.31130829
Western sub-Saharan Africa,1991,11.30794511
Western sub-Saharan Africa,1992,11.30823767
Western sub-Saharan Africa,1993,11.31110287
Western sub-Saharan Africa,1994,11.31609951
Western sub-Saharan Africa,1995,11.32134137
Western sub-Saharan Africa,1996,11.3457107
Western sub-Saharan Africa,1997,11.39626236
Western sub-Saharan Africa,1998,11.4545405
Western sub-Saharan Africa,1999,11.50468366
Western sub-Saharan Africa,2000,11.52835126
Western sub-Saharan Africa,2001,11.53387905
Western sub-Saharan Africa,2002,11.53771854
Western sub-Saharan Africa,2003,11.54026237
Western sub-Saharan Africa,2004,11.54101299
Western sub-Saharan Africa,2005,11.53835232
Western sub-Saharan Africa,2006,11.53084908
Western sub-Saharan Africa,2007,11.51793467
Western sub-Saharan Africa,2008,11.49807816
Western sub-Saharan Africa,2009,11.47065828
Western sub-Saharan Africa,2010,11.43482795
Western sub-Saharan Africa,2011,11.3824913
Western sub-Saharan Africa,2012,11.31808605
Western sub-Saharan Africa,2013,11.25360391
Western sub-Saharan Africa,2014,11.20405394
Western sub-Saharan Africa,2015,11.1826851
Western sub-Saharan Africa,2016,11.18590068
Western sub-Saharan Africa,2017,11.19258583
Western sub-Saharan Africa,2018,11.19097872
Western sub-Saharan Africa,2019,11.18402603
World,1990,12.98991834
World,1991,13.03219722
World,1992,13.06810984
World,1993,13.09622229
World,1994,13.11387356
World,1995,13.11882698
World,1996,13.12206176
World,1997,13.13164475
World,1998,13.14189263
World,1999,13.14870241
World,2000,13.1469665
World,2001,13.13829474
World,2002,13.12614242
World,2003,13.11170579
World,2004,13.09632686
World,2005,13.08026661
World,2006,13.0554491
World,2007,13.0184859
World,2008,12.97736116
World,2009,12.94000717
World,2010,12.91368637
World,2011,12.89142986
World,2012,12.86310906
World,2013,12.83448609
World,2014,12.81143144
World,2015,12.79970023
World,2016,12.80480979
World,2017,12.81156445
World,2018,12.80747844
World,2019,12.7981451
World Bank High Income,1990,14.35723044
World Bank High Income,1991,14.387759
World Bank High Income,1992,14.42112428
World Bank High Income,1993,14.45532444
World Bank High Income,1994,14.48840986
World Bank High Income,1995,14.5175583
World Bank High Income,1996,14.57647961
World Bank High Income,1997,14.6797092
World Bank High Income,1998,14.79537606
World Bank High Income,1999,14.89443307
World Bank High Income,2000,14.9433807
World Bank High Income,2001,14.94611635
World Bank High Income,2002,14.9310686
World Bank High Income,2003,14.9072289
World Bank High Income,2004,14.88530383
World Bank High Income,2005,14.8715112
World Bank High Income,2006,14.87931571
World Bank High Income,2007,14.90516184
World Bank High Income,2008,14.93646022
World Bank High Income,2009,14.96221398
World Bank High Income,2010,14.97119413
World Bank High Income,2011,14.9510974
World Bank High Income,2012,14.91090297
World Bank High Income,2013,14.86517608
World Bank High Income,2014,14.82847328
World Bank High Income,2015,14.81323936
World Bank High Income,2016,14.80071036
World Bank High Income,2017,14.79281956
World Bank High Income,2018,14.8329254
World Bank High Income,2019,14.9169968
World Bank Income Levels,1990,12.98942831
World Bank Income Levels,1991,13.03174006
World Bank Income Levels,1992,13.0676835
World Bank Income Levels,1993,13.09582272
World Bank Income Levels,1994,13.11349498
World Bank Income Levels,1995,13.11846062
World Bank Income Levels,1996,13.12170517
World Bank Income Levels,1997,13.1312997
World Bank Income Levels,1998,13.14155801
World Bank Income Levels,1999,13.14837554
World Bank Income Levels,2000,13.14664214
World Bank Income Levels,2001,13.13796752
